setid,"MolaLity of L-valine, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ClsMx,0.1052,0.3564,298.15,101,1016.54,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.1173,0,298.15,101,1000.17,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.1402,0,298.15,101,1000.77,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.1476,0.1797,298.15,101,1009.55,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.1488,0.0909,298.15,101,1005.4,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.151,0.3564,298.15,101,1017.73,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.1517,0.267,298.15,101,1013.79,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.1894,0,298.15,101,1002.03,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.1975,0.0909,298.15,101,1006.62,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.1989,0.1797,298.15,101,1010.84,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.1994,0.267,298.15,101,1014.98,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.2007,0.3564,298.15,101,1018.97,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.2421,0.1797,298.15,101,1011.92,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.2489,0.0909,298.15,101,1007.89,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.2511,0.267,298.15,101,1016.26,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.2512,0,298.15,101,1003.59,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.2519,0.3564,298.15,101,1020.23,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.2892,0.1797,298.15,101,1013.14,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.2948,0.3564,298.15,101,1021.3,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.2973,0,298.15,101,1004.74,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.3008,0.267,298.15,101,1017.48,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.3025,0.0909,298.15,101,1009.2,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.3211,0,298.15,101,1005.32,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.3385,0.267,298.15,101,1018.39,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.3431,0.3564,298.15,101,1022.51,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.3436,0.1797,298.15,101,1014.52,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.3557,0.0909,298.15,101,1010.47,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.3841,0,298.15,101,1006.84,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.387,0.1797,298.15,101,1015.58,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.387,0.267,298.15,101,1019.54,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.3928,0.0909,298.15,101,1011.34,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.3948,0.3564,298.15,101,1023.78,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.4316,0.0909,298.15,101,1012.25,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.4346,0.3564,298.15,101,1024.66,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.4376,0.267,298.15,101,1020.73,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.4378,0,298.15,101,1008.11,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.4515,0.1797,298.15,101,1017.16,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
