setid,"Temperature, K",Weight fraction of 2-amino-2-methylpropan-1-ol,Weight fraction of 1-butyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ukSqY,313.15,0.35,0.05,101,990.6,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,313.15,0.4,0,101,985.2,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,323.15,0.3,0,101,981.6,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,323.15,0.3,0.1,101,988.7,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,323.15,0.35,0.05,101,983.4,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,323.15,0.4,0,101,978,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,333.15,0.3,0,101,974.8,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,333.15,0.3,0.1,101,981.3,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,333.15,0.35,0.05,101,975.8,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,333.15,0.4,0,101,970.4,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,343.15,0.3,0,101,967.6,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,343.15,0.3,0.1,101,973.8,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,343.15,0.35,0.05,101,968.2,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,343.15,0.4,0,101,962.6,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
