setid,"Temperature, K",Mole fraction of 1-methyl-1-propylpyrrolidinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cLJqB,333.15,0.75,101,1143,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
cLJqB,333.15,1,101,1015,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
cLJqB,343.15,0,101,1388,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
cLJqB,343.15,0.25,101,1318,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
cLJqB,343.15,0.5,101,1239,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
cLJqB,343.15,0.75,101,1136,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
cLJqB,343.15,1,101,1010,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
cLJqB,353.15,0,101,1379,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
cLJqB,353.15,0.25,101,1310,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
cLJqB,353.15,0.5,101,1232,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
cLJqB,353.15,0.75,101,1130,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
cLJqB,353.15,1,101,1005,Annat et al. (2012),Density,Liquid,AAlSLJ,CCC[N+]1(C)CCCC1.N#C[N-]C#N,1-methyl-1-propylpyrrolidinium dicyanamide,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
