setid,Mole fraction of 3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DMgUf,0.1859,318.15,101,980.52,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.1859,323.15,101,976.48,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.2658,293.15,101,1044.35,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.2658,298.15,101,1040.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.2658,303.15,101,1036.84,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.2658,308.15,101,1033.13,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.2658,313.15,101,1029.45,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.2658,318.15,101,1025.71,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.2658,323.15,101,1021.98,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.3345,293.15,101,1071.01,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.3345,298.15,101,1067.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.3345,303.15,101,1063.8,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.3345,308.15,101,1060.25,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.3345,313.15,101,1056.73,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.3345,318.15,101,1053.16,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.3345,323.15,101,1049.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.4865,293.15,101,1109,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.4865,298.15,101,1105.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.4865,303.15,101,1102.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.4865,308.15,101,1098.8,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.4865,313.15,101,1095.5,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.4865,318.15,101,1092.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.4865,323.15,101,1088.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.5987,293.15,101,1127.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.5987,298.15,101,1123.8,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.5987,303.15,101,1120.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.5987,308.15,101,1117.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.5987,313.15,101,1113.8,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.5987,318.15,101,1110.5,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.5987,323.15,101,1107.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.7108,293.15,101,1140.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.7108,298.15,101,1137.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.7108,303.15,101,1134.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.7108,308.15,101,1130.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.7108,313.15,101,1127.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.7108,318.15,101,1124.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.7108,323.15,101,1121.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.8251,293.15,101,1151.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.8251,298.15,101,1148.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.8251,303.15,101,1144.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.8251,308.15,101,1141.8,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.8251,313.15,101,1138.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.8251,318.15,101,1135.3,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.8251,323.15,101,1132.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.9313,293.15,101,1159.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.9313,298.15,101,1156,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.9313,303.15,101,1152.8,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.9313,308.15,101,1149.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.9313,313.15,101,1146.5,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.9313,318.15,101,1143.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.9313,323.15,101,1140,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,1,293.15,101,1163.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,1,298.15,101,1160.5,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,1,303.15,101,1157.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,1,308.15,101,1154.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,1,313.15,101,1150.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,1,318.15,101,1147.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,1,323.15,101,1144.5,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
