setid,"Temperature, K",Weight fraction of water,"Pressure, kPa",Solvent: Mole ratio of chromium chloride to other component of binary solvent,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eNdLE,303.15,0.324,101,0.333,1187.3,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,303.15,0.365,101,0.333,1175.6,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,313.15,0.223,101,0.333,1210.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,313.15,0.277,101,0.333,1196.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,313.15,0.324,101,0.333,1181.3,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,313.15,0.365,101,0.333,1169.7,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,323.15,0.223,101,0.333,1203.8,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,323.15,0.277,101,0.333,1190,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,323.15,0.324,101,0.333,1175.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,323.15,0.365,101,0.333,1163.6,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,333.15,0.223,101,0.333,1197.4,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,333.15,0.277,101,0.333,1183.6,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,333.15,0.324,101,0.333,1168.8,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,333.15,0.365,101,0.333,1157.3,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,343.15,0.223,101,0.333,1190.8,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,343.15,0.277,101,0.333,1176.9,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,343.15,0.324,101,0.333,1162.1,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,343.15,0.365,101,0.333,1150.6,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,353.15,0.223,101,0.333,1183.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,353.15,0.277,101,0.333,1170.1,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,353.15,0.324,101,0.333,1154.9,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,353.15,0.365,101,0.333,1143.3,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
