setid,"Temperature, K",Mole fraction of glycerol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tnoRF,298.15,0.901,100,1248,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.958,100,1253,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.98,100,1255,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.988,100,1255,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.996,100,1256,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.998,100,1257,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.123,100,1233,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.264,100,1232,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.39,100,1231,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.5,100,1232,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.601,100,1233,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.703,100,1235,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.794,100,1238,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.901,100,1245,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.958,100,1250,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.98,100,1252,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.988,100,1252,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.996,100,1254,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,303.15,0.998,100,1254,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.123,100,1226,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.264,100,1225,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.39,100,1224,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.5,100,1225,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.601,100,1225,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.703,100,1228,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.794,100,1231,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.901,100,1238,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.958,100,1243,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.98,100,1245,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.988,100,1245,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.996,100,1247,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,313.15,0.998,100,1247,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
