setid,"Temperature, K","MolaLity of 1-propyl-3-methylimidazolium methylsulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EBStf,298.15,0.873,101,1025.1,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,1.021,101,1028.4,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,1.367,101,1034,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,1.569,101,1036,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,0.013,101,994.7,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,0.041,101,996,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,0.049,101,996.3,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,0.072,101,997.3,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,0.079,101,997.6,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,0.127,101,999.6,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,0.254,101,1004,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,0.409,101,1008.8,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,0.506,101,1011,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,0.656,101,1014.5,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,0.873,101,1020,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,1.021,101,1022.7,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,1.367,101,1029.3,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,308.15,1.569,101,1030.5,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,0.013,101,990.8,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,0.041,101,991.9,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,0.049,101,992.3,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,0.072,101,993.2,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,0.079,101,993.4,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,0.127,101,995.1,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,0.254,101,998.9,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,0.409,101,1003.5,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,0.506,101,1005.8,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,0.656,101,1009,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,0.873,101,1013.5,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,1.021,101,1016.2,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,1.367,101,1018.9,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,318.15,1.569,101,1020.3,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,0.013,101,985.5,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,0.041,101,986.6,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,0.049,101,986.9,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,0.072,101,987.6,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,0.079,101,987.9,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,0.127,101,989.4,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,0.254,101,993.2,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,0.409,101,997,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,0.506,101,998.9,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,0.656,101,1002,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,0.873,101,1005.3,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,1.021,101,1007.7,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,1.367,101,1010,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,328.15,1.569,101,1012.2,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
