setid,Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TgBxR,0.6898,313.15,101,1233,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.6898,318.15,101,1229,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.7868,293.15,101,1268.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.7868,298.15,101,1264.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.7868,303.15,101,1260.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.7868,308.15,101,1256.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.7868,313.15,101,1252.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.7868,318.15,101,1248.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.8756,293.15,101,1283.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.8756,298.15,101,1279.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.8756,303.15,101,1275.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.8756,308.15,101,1271.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.8756,313.15,101,1267.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.8756,318.15,101,1263.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.9283,293.15,101,1291.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.9283,298.15,101,1287.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.9283,303.15,101,1283.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.9283,308.15,101,1279.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.9283,313.15,101,1275.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.9283,318.15,101,1271.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
