setid,"Mole fraction of N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZUCsc,0.2006,333.15,101,1187.3,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,338.15,101,1183.7,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,343.15,101,1179.9,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,348.15,101,1176.3,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,353.15,101,1172.7,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,288.15,101,1276.1,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,293.15,101,1272,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,298.15,101,1268.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,303.15,101,1264.3,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,308.15,101,1260.3,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,313.15,101,1256.4,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,318.15,101,1252.5,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,323.15,101,1248.6,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,328.15,101,1244.8,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,333.15,101,1240.8,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,338.15,101,1237,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,343.15,101,1233.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,348.15,101,1229.3,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.3003,353.15,101,1225.5,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,288.15,101,1313.6,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,293.15,101,1309.6,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,298.15,101,1305.5,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,303.15,101,1301.5,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,308.15,101,1297.3,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,313.15,101,1293.3,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,318.15,101,1289.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,323.15,101,1285.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,328.15,101,1281.3,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,333.15,101,1277.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,338.15,101,1273.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,343.15,101,1269.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,348.15,101,1265.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4007,353.15,101,1261.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4998,288.15,101,1340.9,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4998,293.15,101,1336.7,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4998,298.15,101,1332.5,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4998,303.15,101,1328.3,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.4998,308.15,101,1324.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
