setid,"Temperature, K",Mole fraction of carbon dioxide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zvnlN,293.15,0.343,15000,1307,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.343,20000,1309,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.434,10000,1292,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.434,15000,1295,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.434,20000,1299,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.105,10000,1289,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.105,15000,1292,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.105,20000,1295,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.215,10000,1290,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.215,15000,1294,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.215,20000,1298,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.292,10000,1287,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.292,15000,1292,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.292,20000,1296,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.343,10000,1282,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.343,15000,1289,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.343,20000,1293,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.434,10000,1268,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.434,15000,1277,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,313.15,0.434,20000,1281,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.105,10000,1272,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.105,15000,1276,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.105,20000,1280,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.215,10000,1272,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.215,15000,1278,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.215,20000,1281,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.292,10000,1267,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.292,15000,1275,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.292,20000,1279,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.343,10000,1260,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.343,15000,1270,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.343,20000,1274,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.434,10000,1236,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.434,15000,1254,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,333.15,0.434,20000,1260,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.105,10000,1256,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.105,15000,1260,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.105,20000,1265,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.215,10000,1255,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.215,15000,1261,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.215,20000,1265,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.292,10000,1247,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.292,15000,1256,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.292,20000,1261,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.343,10000,1236,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.343,15000,1249,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.343,20000,1255,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.434,10000,1200,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.434,15000,1226,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,353.15,0.434,20000,1238,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
