setid,Mole fraction of ethyl acetate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wRfge,0.412,308.154,101,988,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.412,313.159,101,983.2,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.412,318.156,101,978.5,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.412,323.143,101,974.7,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.507,303.155,101,981.2,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.507,308.149,101,976.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.507,313.159,101,971.8,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.507,318.156,101,967,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.507,323.143,101,962.8,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.6018,303.156,101,967.1,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.6018,308.154,101,962.3,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.6018,313.15,101,957.5,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.6018,318.158,101,952.7,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.6018,323.147,101,947.5,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.7039,303.154,101,950.4,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.7039,308.149,101,945.3,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.7039,313.159,101,940.1,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.7039,318.156,101,934.9,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.7039,323.145,101,929.5,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.8031,303.153,101,931.5,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.8031,308.152,101,926.1,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.8031,313.159,101,920.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.8031,318.156,101,915,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.8031,323.143,101,909.3,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.8998,303.155,101,911.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.8998,308.155,101,905.7,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.8998,313.157,101,899.8,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.8998,318.157,101,893.9,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.8998,323.144,101,887.9,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.9497,303.158,101,900.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.9497,308.157,101,894.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.9497,313.156,101,888.5,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.9497,318.151,101,882.2,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.9497,323.151,101,876.1,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,1,303.146,101,888.8,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,1,308.148,101,882.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,1,313.155,101,876.3,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,1,318.156,101,870.1,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,1,323.154,101,863.7,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
