setid,"MolaLity of dodecyldimethylammonium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XcqBa,0.2096,101,298,-4.695,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.2492,101,298,-5.569,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.2943,101,298,-6.514,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.3464,101,298,-7.589,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.3978,101,298,-8.638,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.4969,101,298,-10.566,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.5663,101,298,-11.868,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.599,101,298,-12.486,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.6936,101,298,-14.143,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.8645,101,298,-16.974,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
