setid,"Temperature, K","MolaLity of 1-methyl-3-octylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rIUVq,298.15,0.00555,100,997.1,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,298.15,0.00926,100,997.1,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,298.15,0.01402,100,997.2,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,298.15,0.02091,100,997.3,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,298.15,0.03051,100,997.4,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,298.15,0.04243,100,997.6,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,298.15,0.05451,100,997.8,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,303.15,0.00555,100,995.7,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,303.15,0.00926,100,995.7,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,303.15,0.01402,100,995.8,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,303.15,0.02091,100,995.8,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,303.15,0.03051,100,995.9,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,303.15,0.04243,100,996.1,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,303.15,0.05451,100,996.3,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,308.15,0.00555,100,994.1,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,308.15,0.00926,100,994.1,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,308.15,0.01402,100,994.1,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,308.15,0.02091,100,994.2,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,308.15,0.03051,100,994.3,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,308.15,0.04243,100,994.5,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,308.15,0.05451,100,994.6,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,313.15,0.00555,100,992.2,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,313.15,0.00926,100,992.3,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,313.15,0.01402,100,992.3,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,313.15,0.02091,100,992.4,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,313.15,0.03051,100,992.5,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,313.15,0.04243,100,992.6,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,313.15,0.05451,100,992.8,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
