setid,"Solvent: MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Temperature, K","MolaLity of dipotassium hydrogen phosphate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RbquW,0,288.15,0.69693,101,1093,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.7929,101,1106,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.89158,101,1119,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.99071,101,1132,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0,101,998,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.01907,101,1001,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.04894,101,1005,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.06838,101,1007,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.09992,101,1012,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.19917,101,1025,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.29929,101,1038,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.39647,101,1051,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.49422,101,1064,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.60002,101,1078,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.69693,101,1091,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.7929,101,1104,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.89158,101,1117,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,293.15,0.99071,101,1131,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0,101,997,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.01907,101,1000,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.04894,101,1004,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.06838,101,1006,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.09992,101,1010,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.19917,101,1023,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.29929,101,1037,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.39647,101,1050,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.49422,101,1063,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.60002,101,1077,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.69693,101,1089,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.7929,101,1102,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.89158,101,1115,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,298.15,0.99071,101,1128,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0,101,996,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.01907,101,998,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.04894,101,1002,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.06838,101,1005,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.09992,101,1009,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.19917,101,1022,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.29929,101,1035,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.39647,101,1048,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.49422,101,1061,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.60002,101,1075,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.69693,101,1087,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.7929,101,1100,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.89158,101,1113,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,303.15,0.99071,101,1126,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0,101,994,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.01907,101,997,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.04894,101,1000,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.06838,101,1003,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.09992,101,1007,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.19917,101,1020,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.29929,101,1033,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.39647,101,1046,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.49422,101,1059,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.60002,101,1072,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.69693,101,1085,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.7929,101,1098,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.89158,101,1110,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,308.15,0.99071,101,1123,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0,101,1000,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.01792,101,1002,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.04941,101,1007,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.06887,101,1009,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.0976,101,1013,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.1971,101,1026,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.29522,101,1040,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.39736,101,1053,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.49574,101,1067,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.59629,101,1080,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.68123,101,1092,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.80263,101,1108,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,288.15,0.89736,101,1121,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,293.15,0,101,999,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,293.15,0.01792,101,1001,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,293.15,0.04941,101,1006,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,293.15,0.06887,101,1008,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,293.15,0.0976,101,1012,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,293.15,0.1971,101,1025,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,293.15,0.29522,101,1038,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0.01,293.15,0.39736,101,1052,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
