setid,"Pressure, kPa","Temperature, K",Mole fraction of water,Mole fraction of dimethyl sulfoxide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vqSlM,93.1,343.15,0.031,0.482,1109.3,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,343.15,0.042,0.048,1121,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,353.15,0.031,0.482,1102.6,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,353.15,0.042,0.048,1115.4,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,363.15,0.031,0.482,1096,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,363.15,0.042,0.048,1109.9,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,373.15,0.031,0.482,1089.4,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,373.15,0.042,0.048,1104.5,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,293.15,0.001,0.999,1101.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,303.15,0.001,0.999,1091.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,313.15,0.001,0.999,1081.1,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,323.15,0.001,0.999,1071.1,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,323.15,0.059,0,1132.7,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,333.15,0.001,0.999,1061.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,333.15,0.059,0,1127.1,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,343.15,0.001,0.999,1051.3,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,343.15,0.059,0,1121.5,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,353.15,0.001,0.999,1041.1,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,353.15,0.059,0,1116,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,363.15,0.001,0.999,1031.3,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,363.15,0.059,0,1110.5,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,373.15,0.001,0.999,1021.4,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.4,373.15,0.059,0,1105.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.5,293.15,0.008,0.893,1116.9,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.5,303.15,0.008,0.893,1108,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.5,313.15,0.008,0.893,1099,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.5,323.15,0.008,0.893,1090,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.5,333.15,0.008,0.893,1081,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.5,343.15,0.008,0.893,1072,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.5,353.15,0.008,0.893,1063.1,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.5,363.15,0.008,0.893,1054.3,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.5,373.15,0.008,0.893,1045.5,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
