setid,"Solvent: MolaLity of propan-2-ol, mol/kg","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XNSRk,1,0.1354,101,298,1.858,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.1556,101,298,2.379,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.1734,101,298,2.392,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.2055,101,298,2.926,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.2277,101,298,3.243,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.302,101,298,4.012,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.4399,101,298,5.8,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.57,101,298,7.138,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.6334,101,298,7.871,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.7487,101,298,9.108,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
