setid,"Temperature, K",Mole fraction of ammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
STqKR,308.15,0.1703,101,1093.9,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,308.15,0.2498,101,1094.6,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,308.15,0.328,101,1095.1,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,308.15,0.4491,101,1095.6,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,313.15,0,101,1089.4,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,313.15,0.0503,101,1089.1,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,313.15,0.0999,101,1089.8,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,313.15,0.1703,101,1090.8,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,313.15,0.2498,101,1091.5,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,313.15,0.328,101,1091.9,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,313.15,0.4491,101,1092.4,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,318.15,0,101,1086.4,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,318.15,0.0503,101,1086,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,318.15,0.0999,101,1086.7,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,318.15,0.1703,101,1087.6,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,318.15,0.2498,101,1088.3,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,318.15,0.328,101,1088.8,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,318.15,0.4491,101,1089.2,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,323.15,0,101,1083.4,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,323.15,0.0503,101,1082.9,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,323.15,0.0999,101,1083.5,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,323.15,0.1703,101,1084.5,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,323.15,0.2498,101,1085.2,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,323.15,0.328,101,1085.7,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
STqKR,323.15,0.4491,101,1086.2,Oliveira et al. (2015),Density,Liquid,AAOqAs,CC(=O)[O-].[NH4+],ammonium acetate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
