setid,Weight fraction of 2-(2-aminoethoxy)ethanol,Weight fraction of N-methylpyrrolidone,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pGfQS,0.2981,0.3096,333.15,101,1134.2,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.3035,0.4462,293.15,101,1120,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.3035,0.4462,298.15,101,1115.6,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.3035,0.4462,303.15,101,1111.2,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.3035,0.4462,308.15,101,1106.7,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.3035,0.4462,313.15,101,1102.3,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.3035,0.4462,318.15,101,1097.8,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.3035,0.4462,323.15,101,1093.4,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.3035,0.4462,328.15,101,1088.9,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
pGfQS,0.3035,0.4462,333.15,101,1084.5,Ebrahiminejadhasanabadi et al. (2022),Density,Liquid,AAULXZ,NCCOCCO,2-(2-aminoethoxy)ethanol,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
