setid,"Temperature, K","MolaLity of 3-dodecyl-1-ethyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
iLHny,298.15,0.0061,100,997.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,298.15,0.0074,100,997.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,298.15,0.0109,100,997.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,298.15,0.015,100,997.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,298.15,0.021,100,997.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,298.15,0.0257,100,997.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,298.15,0.0362,100,997.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,298.15,0.0521,100,998.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,303.15,0,100,995.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,303.15,0.0061,100,995.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,303.15,0.0074,100,995.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,303.15,0.0109,100,995.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,303.15,0.015,100,995.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,303.15,0.021,100,996,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,303.15,0.0257,100,996.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,303.15,0.0362,100,996.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
iLHny,303.15,0.0521,100,996.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABOVLX,CCCCCCCCCCCCn1cc[n+](CC)c1.[Br-],3-dodecyl-1-ethyl-1H-imidazolium bromide,,,
