setid,"MolaLity of D-glucose, mol/kg","MolaLity of 1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KSeqE,0.4,0.1216,298.15,101,1036.13,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.4,0.1404,298.15,101,1038.06,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.4,0.1638,298.15,101,1040.44,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.4,0.1927,298.15,101,1043.35,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.8,0,298.15,101,1046.88,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.8,0.1004,298.15,101,1056.62,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.8,0.1063,298.15,101,1057.17,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.8,0.122,298.15,101,1058.65,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.8,0.141,298.15,101,1060.42,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,0.8,0.1671,298.15,101,1062.83,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.2,0,298.15,101,1068.58,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.2,0.08,298.15,101,1075.63,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.2,0.1001,298.15,101,1077.36,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.2,0.12,298.15,101,1079.08,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.2,0.1397,298.15,101,1080.77,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.2,0.1598,298.15,101,1082.48,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.6,0,298.15,101,1088.48,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.6,0.0703,298.15,101,1094.23,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.6,0.0938,298.15,101,1096.11,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.6,0.1318,298.15,101,1099.08,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.6,0.1795,298.15,101,1102.68,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
KSeqE,1.6,0.2282,298.15,101,1106.26,Chen et al. (2015a),Density,Liquid,AAihiT,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,D-glucose,AADYJk,O,water,ABaZrZ,C[n+]1ccn(CCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],"1,1'-(hexane-1,6-diyl)bis(3-methyl-1H-imidazol-3-ium) bromide"
