setid,"Temperature, K",Mole fraction of 2-amino-2-methylpropan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hrygN,303.15,0.8,81.5,971.2,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,303.15,1,81.5,925.9,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,313.15,0,81.5,1090.5,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,313.15,0.2,81.5,1068.3,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,313.15,0.4,81.5,1038.9,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,313.15,0.6,81.5,1003.7,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,313.15,0.8,81.5,963.8,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,313.15,1,81.5,917.5,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,323.15,0,81.5,1084.4,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,323.15,0.2,81.5,1062,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,323.15,0.4,81.5,1032.5,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,323.15,0.6,81.5,996.9,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,323.15,0.8,81.5,956.4,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,323.15,1,81.5,909.1,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,333.15,0,81.5,1078.4,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,333.15,0.2,81.5,1055.8,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,333.15,0.4,81.5,1026.1,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,333.15,0.6,81.5,990.2,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,333.15,0.8,81.5,949,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,333.15,1,81.5,900.5,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,343.15,0,81.5,1072.4,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,343.15,0.2,81.5,1049.5,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,343.15,0.4,81.5,1019.7,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,343.15,0.6,81.5,983.5,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,343.15,0.8,81.5,941.7,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,343.15,1,81.5,891.8,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,353.15,0,81.5,1066.5,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,353.15,0.2,81.5,1043.4,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,353.15,0.4,81.5,1013.4,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,353.15,0.6,81.5,976.9,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,353.15,0.8,81.5,934.3,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
hrygN,353.15,1,81.5,883,Shojaeian et al. (2021),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
