setid,"Temperature, K","Solvent: MolaLity of propylammonium formate, mol/kg","MolaLity of DL-2-aminopropanoic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VBnnA,288.15,0.1,0.194,101.325,1005.47,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.1,0.21295,101.325,1006,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.15,0.02875,101.325,1001.11,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.15,0.04747,101.325,1001.65,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.15,0.06546,101.325,1002.16,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.15,0.08858,101.325,1002.82,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.15,0.10286,101.325,1003.22,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.15,0.12031,101.325,1003.71,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.15,0.13452,101.325,1004.11,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.15,0.15481,101.325,1004.67,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.15,0.18604,101.325,1005.53,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.2,0.03681,101.325,1001.73,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.2,0.0764,101.325,1002.86,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.2,0.08316,101.325,1003.05,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.2,0.08979,101.325,1003.24,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.2,0.11065,101.325,1003.83,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.2,0.1347,101.325,1004.5,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.2,0.14133,101.325,1004.69,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.2,0.16347,101.325,1005.3,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,288.15,0.2,0.18865,101.325,1006,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0,0.02482,101.325,997.759,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0,0.04387,101.325,998.303,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0,0.06246,101.325,998.83,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0,0.06721,101.325,998.963,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0,0.07269,101.325,999.116,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0,0.11285,101.325,1000.24,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0,0.12881,101.325,1000.68,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0,0.15951,101.325,1001.52,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0,0.17856,101.325,1002.04,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.05,0.03679,101.325,998.513,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.05,0.04092,101.325,998.633,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.05,0.0772,101.325,999.691,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.05,0.08841,101.325,1000.01,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.05,0.10084,101.325,1000.37,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.05,0.12681,101.325,1001.12,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.05,0.15516,101.325,1001.93,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.05,0.18546,101.325,1002.79,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.05,0.23205,101.325,1004.1,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.1,0.02398,101.325,998.485,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.1,0.03972,101.325,998.932,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.1,0.06853,101.325,999.746,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.1,0.0923,101.325,1000.41,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.1,0.12607,101.325,1001.36,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.1,0.14061,101.325,1001.77,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.1,0.16533,101.325,1002.45,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.1,0.194,101.325,1003.25,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.1,0.21295,101.325,1003.77,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.15,0.02875,101.325,998.992,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.15,0.04747,101.325,999.517,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.15,0.06546,101.325,1000.02,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.15,0.08858,101.325,1000.66,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.15,0.10286,101.325,1001.05,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.15,0.12031,101.325,1001.52,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.15,0.13452,101.325,1001.91,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.15,0.15481,101.325,1002.46,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.15,0.18604,101.325,1003.3,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.2,0.03681,101.325,999.588,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.2,0.0764,101.325,1000.69,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.2,0.08316,101.325,1000.88,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.2,0.08979,101.325,1001.06,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.2,0.11065,101.325,1001.63,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.2,0.1347,101.325,1002.29,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.2,0.14133,101.325,1002.47,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.2,0.16347,101.325,1003.07,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,298.15,0.2,0.18865,101.325,1003.75,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0,0.02482,101.325,994.763,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0,0.04387,101.325,995.297,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0,0.06246,101.325,995.816,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0,0.06721,101.325,995.947,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0,0.07269,101.325,996.099,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0,0.11285,101.325,997.211,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0,0.12881,101.325,997.65,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0,0.15951,101.325,998.487,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0,0.17856,101.325,999.005,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.05,0.03679,101.325,995.464,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.05,0.04092,101.325,995.582,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.05,0.0772,101.325,996.611,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.05,0.08841,101.325,996.927,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.05,0.10084,101.325,997.276,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.05,0.12681,101.325,998.004,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.05,0.15516,101.325,998.796,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.05,0.18546,101.325,999.638,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.05,0.23205,101.325,1000.92,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.1,0.02398,101.325,995.481,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.1,0.03972,101.325,995.918,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.1,0.06853,101.325,996.713,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.1,0.0923,101.325,997.366,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.1,0.12607,101.325,998.289,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
VBnnA,308.15,0.1,0.14061,101.325,998.685,Singh et al. (2015a),Density,Liquid,AARGzi,CC(N)C(=O)O,DL-2-aminopropanoic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
