setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium hydrogen sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NcPox,298.15,0.2391,87,1012.2,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,298.15,0.2718,87,1014.2,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,298.15,0.3034,87,1016,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,298.15,0.3375,87,1018,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,303.15,0.0363,87,998.2,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,303.15,0.0687,87,1000.3,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,303.15,0.1026,87,1002.5,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,303.15,0.1384,87,1004.6,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,303.15,0.1716,87,1006.6,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,303.15,0.2049,87,1008.6,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,303.15,0.2391,87,1010.6,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,303.15,0.2718,87,1012.5,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,303.15,0.3034,87,1014.3,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,303.15,0.3375,87,1016.2,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,308.15,0.0363,87,996.5,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,308.15,0.0687,87,998.6,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,308.15,0.1026,87,1000.7,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,308.15,0.1384,87,1002.9,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,308.15,0.1716,87,1004.8,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,308.15,0.2049,87,1006.8,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,308.15,0.2391,87,1008.7,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,308.15,0.2718,87,1010.6,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,308.15,0.3034,87,1012.3,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,308.15,0.3375,87,1014.2,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,313.15,0.0363,87,994.7,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,313.15,0.0687,87,996.7,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,313.15,0.1026,87,998.8,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,313.15,0.1384,87,1000.9,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,313.15,0.1716,87,1002.8,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,313.15,0.2049,87,1004.7,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,313.15,0.2391,87,1006.7,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,313.15,0.2718,87,1008.5,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,313.15,0.3034,87,1010.2,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
NcPox,313.15,0.3375,87,1012.1,Rafiee and Frouzesh (2016a),Density,Liquid,AADYJk,O,water,AAoChY,CC[n+]1ccn(C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,,,
