setid,"Temperature, K",Mole fraction of 1-butyl-4-methylpyridinium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Ffsbu,308.15,0.0286,101,1006.3,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.043,101,1011.2,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.0972,101,1024.4,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.1667,101,1034.13,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.2377,101,1040.18,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.3001,101,1043.84,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.3636,101,1046.56,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.4331,101,1048.76,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.5372,101,1051.1,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.6203,101,1052.39,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.722,101,1053.61,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.8345,101,1054.57,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,0.9436,101,1055.28,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,308.15,1,101,1055.58,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0,101,990.2,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.0076,101,990.4,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.0286,101,1001,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.043,101,1005.5,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.0972,101,1018,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.1667,101,1027.51,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.2377,101,1033.65,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.3001,101,1037.43,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.3636,101,1040.27,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.4331,101,1042.59,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.5372,101,1045.08,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.6203,101,1046.47,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.722,101,1047.78,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.8345,101,1048.82,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,0.9436,101,1049.58,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,318.15,1,101,1049.9,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0,101,985.69,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.0076,101,985.8,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.0286,101,993,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.043,101,997.4,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.0972,101,1010.8,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.1667,101,1020.8,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.2377,101,1027.06,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.3001,101,1031,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.3636,101,1033.97,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.4331,101,1036.42,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.5372,101,1039.09,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.6203,101,1040.56,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.722,101,1041.97,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.8345,101,1043.08,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,0.9436,101,1043.9,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,328.15,1,101,1044.26,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0,101,980.3,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.0076,101,980.6,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.0286,101,986.6,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.043,101,992.1,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.0972,101,1004.6,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.1667,101,1014.02,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.2377,101,1020.43,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.3001,101,1024.4,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.3636,101,1027.66,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.4331,101,1030.27,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.5372,101,1033.1,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.6203,101,1034.69,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.722,101,1036.19,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.8345,101,1037.38,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,0.9436,101,1038.28,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,338.15,1,101,1038.66,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0,101,974.75,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.0076,101,975.2,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.0286,101,981.7,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.043,101,986.7,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.0972,101,997.6,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.1667,101,1007.12,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.2377,101,1013.75,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.3001,101,1018.07,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.3636,101,1021.36,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.4331,101,1024.11,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.5372,101,1027.12,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.6203,101,1028.83,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.722,101,1030.44,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.8345,101,1031.72,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,0.9436,101,1032.68,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
Ffsbu,348.15,1,101,1033.09,Domanska and Krolikowska (2012),Density,Liquid,AADYJk,O,water,AAoDMM,CCCC[n+]1ccc(C)cc1.N#C[S-],1-butyl-4-methylpyridinium thiocyanate,,,
