setid,"Temperature, K","MolaLity of 1-propyl-3-methylimidazolium glycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lGYZs,298.15,0.1846,101,1001.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,298.15,0.2272,101,1002.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,298.15,0.2865,101,1004.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,298.15,0.3367,101,1005.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,298.15,0.3947,101,1006.7,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,298.15,0.4497,101,1008,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,298.15,0.5043,101,1009.3,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.0102,101,996.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.0166,101,996.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.0282,101,996.7,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.0443,101,996.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.1117,101,998.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.1846,101,1000.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.2272,101,1001.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.2865,101,1002.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.3367,101,1003.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.3947,101,1005.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.4497,101,1006.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,303.15,0.5043,101,1007.7,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.0102,101,994.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.0166,101,994.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.0282,101,994.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.0443,101,995.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.1117,101,996.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.1846,101,998.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.2272,101,999.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.2865,101,1000.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.3367,101,1002.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.3947,101,1003.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.4497,101,1004.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,308.15,0.5043,101,1005.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.0102,101,992.3,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.0166,101,992.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.0282,101,992.7,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.0443,101,993,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.1117,101,994.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.1846,101,996.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.2272,101,997.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.2865,101,998.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.3367,101,999.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.3947,101,1001.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.4497,101,1002.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,313.15,0.5043,101,1003.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.0102,101,990.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.0166,101,990.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.0282,101,990.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.0443,101,990.7,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.1117,101,992.3,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.1846,101,994.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.2272,101,995.3,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.2865,101,996.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.3367,101,997.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.3947,101,999.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.4497,101,1000.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,318.15,0.5043,101,1001.7,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.0102,101,987.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.0166,101,988.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.0282,101,988.3,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.0443,101,988.6,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.1117,101,990.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.1846,101,992,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.2272,101,993,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.2865,101,994.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.3367,101,995.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.3947,101,996.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.4497,101,998.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,323.15,0.5043,101,999.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.0102,101,986.3,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.0166,101,986.3,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.0282,101,986.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.0443,101,986.8,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.1117,101,988.4,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.1846,101,990.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.2272,101,991.1,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.2865,101,992.5,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.3367,101,993.7,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.3947,101,994.9,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.4497,101,996.2,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
lGYZs,328.15,0.5043,101,997.3,Tong et al. (2012a),Density,Liquid,AADYJk,O,water,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,
