setid,"Temperature, K","MolaLity of tetraethylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hHUvh,298.15,0.61791,101,989.3,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,298.15,0.90346,101,991.2,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,303.15,0,101,985.7,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,303.15,0.05925,101,985.9,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,303.15,0.13266,101,986.4,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,303.15,0.18041,101,986.5,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,303.15,0.23557,101,986.7,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,303.15,0.37591,101,987.2,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,303.15,0.467,101,987.6,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,303.15,0.6775,101,988.5,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
hHUvh,303.15,0.87255,101,989.4,Mendonca et al. (2002),Density,Liquid mixture 1,Liquid of pure component 2,,29,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine
