setid,Solvent: Weight fraction of acetonitrile,"MolaRity of ethylhexadecyldimethylammonium bromide, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OaqpL,0.7,0.01,101,303.15,839.7,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.7,0.02,101,303.15,840.6,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.7,0.03,101,303.15,841.4,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.7,0.04,101,303.15,842.2,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.7,0.05,101,303.15,843.1,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.9,0.005,101,303.15,793,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.9,0.01,101,303.15,793.5,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.9,0.02,101,303.15,794.5,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.9,0.03,101,303.15,795.6,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.9,0.04,101,303.15,796.6,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,0.9,0.05,101,303.15,797.6,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,1,0.005,101,303.15,771.8,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,1,0.01,101,303.15,772.3,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,1,0.02,101,303.15,773.5,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,1,0.03,101,303.15,774.6,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,1,0.04,101,303.15,775.8,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
OaqpL,1,0.05,101,303.15,776.9,Nikam and Sawanta (1998),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUoQI,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],ethylhexadecyldimethylammonium bromide,AADYJk,O,water
