setid,"Temperature, K","MolaLity of copper(II) trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SXdVW,288.15,0.1772,101,838.612,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,288.15,0.2047,101,845.512,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,288.15,0.231,101,852.265,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,288.15,0.2571,101,858.996,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,288.15,0.2847,101,866.292,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,293.15,0,101,791.162,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,293.15,0.1213,101,820.094,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,293.15,0.1418,101,825.141,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,293.15,0.1772,101,833.908,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,293.15,0.2047,101,840.803,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,293.15,0.231,101,847.554,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,293.15,0.2571,101,854.279,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,293.15,0.2847,101,861.57,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,298.15,0,101,786.452,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,298.15,0.1213,101,815.38,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,298.15,0.1418,101,820.428,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,298.15,0.1772,101,829.19,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,298.15,0.2047,101,836.081,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,298.15,0.231,101,842.828,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,298.15,0.2571,101,849.545,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,298.15,0.2847,101,856.839,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,303.15,0,101,781.722,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,303.15,0.1213,101,810.649,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,303.15,0.1418,101,815.692,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,303.15,0.1772,101,824.45,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,303.15,0.2047,101,831.338,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,303.15,0.231,101,838.081,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,303.15,0.2571,101,844.805,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,303.15,0.2847,101,852.088,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,308.15,0,101,776.978,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,308.15,0.1213,101,805.885,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,308.15,0.1418,101,810.942,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,308.15,0.1772,101,819.682,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,308.15,0.2047,101,826.565,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,308.15,0.231,101,833.302,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,308.15,0.2571,101,840.033,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,308.15,0.2847,101,847.311,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,313.15,0,101,772.2,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,313.15,0.1213,101,801.107,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,313.15,0.1418,101,806.159,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,313.15,0.1772,101,814.901,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,313.15,0.2047,101,821.777,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,313.15,0.231,101,828.513,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,313.15,0.2571,101,835.231,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
SXdVW,313.15,0.2847,101,842.504,Warminska et al. (2010a),Density,Liquid,AAGIBL,CO,methanol,ABRcKN,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],copper(II) trifluoromethanesulfonate,,,
