setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of cyclopentanone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZobKL,293.15,0.3369,0.3533,100,1092.9,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.3506,0.3453,100,1096.7,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.3612,0.3361,100,1099.5,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.3814,0.324,100,1104.7,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.4025,0.3145,100,1110,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.4259,0.3014,100,1115.5,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.4468,0.288,100,1120.1,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.4685,0.2754,100,1124.6,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.4876,0.2638,100,1128.4,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.5038,0.2581,100,1131.7,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.5263,0.2439,100,1135.8,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.5461,0.2344,100,1139.4,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.5669,0.2225,100,1142.9,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.5836,0.2115,100,1145.6,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.6033,0.2023,100,1148.8,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.6301,0.1876,100,1152.9,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.6501,0.1785,100,1155.9,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.6733,0.1658,100,1159.2,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.6947,0.1504,100,1162.1,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
