setid,"MolaLity of propylammonium formate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FWzrP,0.2,308.15,100,995.676,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.2,313.15,100,993.97,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.2,318.15,100,991.749,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.2,323.15,100,989.611,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.3,293.15,100,1000.91,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.3,298.15,100,999.689,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.3,303.15,100,998.238,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.3,308.15,100,996.581,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.3,313.15,100,994.725,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.3,318.15,100,992.694,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.3,323.15,100,990.498,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.4,293.15,100,1001.81,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.4,298.15,100,1000.56,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.4,303.15,100,999.087,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.4,308.15,100,997.41,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.4,313.15,100,995.542,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.4,318.15,100,993.502,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
FWzrP,0.4,323.15,100,991.295,Singh et al. (2016c),Density,Liquid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate,,,
