setid,"Temperature, K","MolaLity of 1-carboxymethyl-3-methylimidazolium chloride, mol/kg","MolaLity of 1-(carboxymethyl)-3-propylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kEGnV,298.15,2.2501,0.7494,101,1104.82,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,298.15,2.9649,3.0352,101,1153.22,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,298.15,4.4977,1.5025,101,1162.26,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,0.025,0.0751,101,1000.5,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,0.05,0.0501,101,1000.67,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,0.0751,0.025,101,1000.86,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,0.2502,0.7507,101,1036.99,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,0.5007,0.5005,101,1038.7,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,0.7496,2.2502,101,1092.99,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,0.7506,0.2509,101,1040.34,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,1.4981,4.5019,101,1141.83,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,1.5004,1.4993,101,1097.51,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,2.2501,0.7494,101,1102.24,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,2.9649,3.0352,101,1149.95,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
kEGnV,303.15,4.4977,1.5025,101,1158.74,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAhygw,Cn1cc[n+](CC(=O)O)c1.[Cl-],1-carboxymethyl-3-methylimidazolium chloride,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride
