setid,"Temperature, K",Mole fraction of 2-propenol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TRKoD,318.15,0,87,1223,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,318.15,0.0988,87,1210.1,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,318.15,0.1811,87,1197.4,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,318.15,0.2833,87,1179.2,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,318.15,0.4107,87,1151.6,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,318.15,0.4939,87,1129.5,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,318.15,0.5909,87,1098.5,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,318.15,0.7086,87,1050,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,318.15,0.8066,87,997.7,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,318.15,0.9057,87,927.2,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,318.15,0.9835,87,852.3,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
TRKoD,318.15,1,87,832.6,Rafiee and Frouzesh (2015a),Density,Liquid,AALIDN,C=CCO,2-propenol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
