setid,"Temperature, K","Mole fraction of 2-(N,N-dimethylamino)ethanol","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fZuxF,298.15,0.8063,101,1054,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,298.15,0.9128,101,969.8,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,298.15,1,101,882.7,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,303.15,0,101,1363.3,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,303.15,0.1221,101,1335,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,303.15,0.2143,101,1311.4,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,303.15,0.3182,101,1280.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,303.15,0.4405,101,1239.7,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,303.15,0.5166,101,1209.4,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,303.15,0.605,101,1168.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,303.15,0.709,101,1112.8,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,303.15,0.8063,101,1050.5,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,303.15,0.9128,101,966.6,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,303.15,1,101,879.3,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,308.15,0,101,1359.5,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,308.15,0.1221,101,1330.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,308.15,0.2143,101,1307,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,308.15,0.3182,101,1276.4,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,308.15,0.4405,101,1234.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,308.15,0.5166,101,1204.4,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,308.15,0.605,101,1163.5,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,308.15,0.709,101,1107.3,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,308.15,0.8063,101,1044.8,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,308.15,0.9128,101,960.7,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,308.15,1,101,873.4,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,313.15,0,101,1354.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,313.15,0.1221,101,1325.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,313.15,0.2143,101,1301.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,313.15,0.3182,101,1271.1,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,313.15,0.4405,101,1229.3,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,313.15,0.5166,101,1198.6,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,313.15,0.605,101,1157.6,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,313.15,0.709,101,1101.2,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,313.15,0.8063,101,1038.5,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,313.15,0.9128,101,954.2,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,313.15,1,101,869.2,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,318.15,0,101,1351,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,318.15,0.1221,101,1322,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,318.15,0.2143,101,1298,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,318.15,0.3182,101,1267.5,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,318.15,0.4405,101,1225.8,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,318.15,0.5166,101,1195.2,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,318.15,0.605,101,1154.4,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,318.15,0.709,101,1098.2,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,318.15,0.8063,101,1035.7,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,318.15,0.9128,101,951.6,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,318.15,1,101,865.7,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,323.15,0,101,1347.3,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,323.15,0.1221,101,1318,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,323.15,0.2143,101,1293.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,323.15,0.3182,101,1263.3,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,323.15,0.4405,101,1221.5,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,323.15,0.5166,101,1190.8,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,323.15,0.605,101,1149.9,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,323.15,0.709,101,1093.5,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,323.15,0.8063,101,1031,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,323.15,0.9128,101,946.8,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
fZuxF,323.15,1,101,861.4,Geng et al. (2008a),Density,Liquid,AARHPS,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
