setid,"MolaLity of N-methylpiperidinium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mAHIr,0.1007,293.15,100,1.094,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,303.15,100,1.011,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,303.15,100,1.02,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,303.15,100,1.039,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,303.15,100,1.05,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,313.15,100,0.978,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,313.15,100,1.006,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,323.15,100,0.953,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,323.15,100,0.978,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,333.15,100,0.865,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,333.15,100,0.906,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,333.15,100,0.939,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,333.15,100,0.96,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,343.15,100,0.897,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,343.15,100,0.92,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,353.15,100,0.934,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,353.15,100,0.946,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,363.15,100,0.97,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
mAHIr,0.1007,363.15,100,0.973,McGregor et al. (2017),Density,Liquid,AADYJk,O,water,AAaEnS,C[NH+]1CCCCC1.[Cl-],N-methylpiperidinium chloride,,,
