setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium methyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fdLAJ,308.15,0.0166,101,995,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.0244,101,996,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.0302,101,996,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.0372,101,996,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.0702,101,998,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.077,101,998,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.0961,101,999,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.1191,101,1000,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.1346,101,1000,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.1823,101,1002,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.3343,101,1008,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.4226,101,1012,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.5486,101,1017,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,308.15,0.573,101,1018,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.0166,101,991,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.0244,101,991,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.0302,101,992,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.0372,101,992,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.0702,101,993,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.077,101,994,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.0961,101,994,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.1191,101,995,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.1346,101,996,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.1823,101,998,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.3343,101,1004,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.4226,101,1007,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.5486,101,1012,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,318.15,0.573,101,1013,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.0166,101,986,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.0244,101,986,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.0302,101,986,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.0372,101,987,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.0702,101,988,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.077,101,988,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.0961,101,989,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.1191,101,990,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.1346,101,990,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.1823,101,992,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.3343,101,998,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.4226,101,1001,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.5486,101,1005,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
fdLAJ,328.15,0.573,101,1006,Shekaari and Armanfar (2011),Density,Liquid,AADYJk,O,water,AAqmVN,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methyl sulfate,,,
