setid,"Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of glycylglycine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
orDpK,0.05,293.15,0.1406,101,1007.6,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,293.15,0.16,101,1008.66,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,293.15,0.1792,101,1009.83,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,298.15,0,101,998.4,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,298.15,0.04058,101,1000.66,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,298.15,0.05945,101,1001.73,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,298.15,0.08037,101,1002.93,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,298.15,0.1005,101,1004.06,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,298.15,0.12,101,1005.18,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,298.15,0.1406,101,1006.34,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,298.15,0.16,101,1007.48,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,298.15,0.1792,101,1008.57,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,298.15,0.1996,101,1009.77,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,303.15,0,101,996.99,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,303.15,0.03831,101,999.09,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,303.15,0.05641,101,1000.11,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,303.15,0.07612,101,1001.21,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,303.15,0.09494,101,1002.28,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,303.15,0.1136,101,1003.37,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,303.15,0.1335,101,1004.42,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,303.15,0.1509,101,1005.41,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.05,303.15,0.1701,101,1006.47,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,288.15,0,101,1002.09,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,288.15,0.04079,101,1004.39,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,288.15,0.08156,101,1006.67,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,288.15,0.1021,101,1007.81,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,288.15,0.1225,101,1008.96,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,288.15,0.1423,101,1010.09,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,288.15,0.1639,101,1011.31,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,288.15,0.1849,101,1012.51,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,293.15,0,101,1001.15,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,293.15,0.04079,101,1003.4,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,293.15,0.06061,101,1004.5,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,293.15,0.08156,101,1005.7,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,293.15,0.1021,101,1006.84,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,293.15,0.1225,101,1007.97,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,293.15,0.1423,101,1009.07,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,293.15,0.1849,101,1011.43,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,298.15,0,101,999.93,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,298.15,0.04079,101,1002.16,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,298.15,0.08156,101,1004.41,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,298.15,0.1021,101,1005.54,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,298.15,0.1423,101,1007.74,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,298.15,0.1639,101,1008.91,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,298.15,0.1849,101,1010.13,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,303.15,0,101,999.841,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,303.15,0.04079,101,1000.6,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,303.15,0.06061,101,1001.67,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,303.15,0.08156,101,1002.81,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,303.15,0.1021,101,1003.9,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,303.15,0.1423,101,1006.07,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
orDpK,0.1,303.15,0.1849,101,1008.34,Yan et al. (2014a),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
