setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium iodide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xAwhQ,293.15,0.1995,101,1014.61,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,293.15,0.2522,101,1018.75,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,293.15,0.3025,101,1022.63,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,293.15,0.3477,101,1026.08,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,293.15,0.4036,101,1030.23,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,293.15,0.4508,101,1033.71,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,293.15,0.5032,101,1037.5,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,298.15,0,101,997.089,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,298.15,0.0514,101,1001.37,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,298.15,0.1017,101,1005.46,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,298.15,0.1497,101,1009.32,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,298.15,0.1995,101,1013.26,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,298.15,0.2522,101,1017.37,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,298.15,0.3025,101,1021.27,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,298.15,0.3477,101,1024.71,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,298.15,0.4036,101,1028.85,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,298.15,0.4508,101,1032.38,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,298.15,0.5032,101,1036.15,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,303.15,0,101,995.688,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,303.15,0.0514,101,999.906,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,303.15,0.1017,101,1003.96,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,303.15,0.1497,101,1007.76,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,303.15,0.1995,101,1011.7,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,303.15,0.2522,101,1015.77,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,303.15,0.3025,101,1019.6,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,303.15,0.3477,101,1023,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,303.15,0.4036,101,1027.14,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,303.15,0.4508,101,1030.58,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,303.15,0.5032,101,1034.41,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,308.15,0,101,994.058,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,308.15,0.0514,101,998.257,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,308.15,0.1017,101,1002.28,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,308.15,0.1497,101,1006.08,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,308.15,0.1995,101,1009.95,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,308.15,0.2522,101,1013.98,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,308.15,0.3025,101,1017.78,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,308.15,0.3477,101,1021.14,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,308.15,0.4036,101,1025.23,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,308.15,0.4508,101,1028.63,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
xAwhQ,308.15,0.5032,101,1032.4,Lal et al. (2012),Density,Liquid,AADYJk,O,water,AAzJkz,CCCC[n+]1ccn(C)c1.[I-],1-butyl-3-methylimidazolium iodide,,,
