setid,"Temperature, K","MolaLity of 1-dodecylpyridinium chloride, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wTMIx,343.15,0.01929,350,-193000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.02048,350,-203000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.02297,350,-256000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.02558,350,-263000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.03107,350,-350000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.04075,350,-452000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.05401,350,-608000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.07814,350,-920000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.09987,350,-1.148e+06,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,343.15,0.15216,350,-1.712e+06,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.007,350,-88000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.00999,350,-142000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.01808,350,-213000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.01929,350,-230000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.02048,350,-250000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.02297,350,-307000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.02558,350,-313000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.03107,350,-429000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.04075,350,-526000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.05401,350,-700000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.07814,350,-1.043e+06,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.09987,350,-1.292e+06,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,358.15,0.15216,350,-1.919e+06,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.007,350,-113000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.00999,350,-148000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.01808,350,-269000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.01929,350,-281000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.02048,350,-284000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.02297,350,-335000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.02558,350,-404000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.03107,350,-503000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.04075,350,-600000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.05401,350,-785000,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.07814,350,-1.124e+06,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.09987,350,-1.39e+06,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
wTMIx,372.05,0.15216,350,-2.017e+06,Ballerat-Busserolles et al. (1998),Density,Liquid,ABCefL,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],1-dodecylpyridinium chloride,AADYJk,O,water,,,
