setid,"MolaLity of tetrapropylammonium bromide, mol/kg",Solvent: Mole fraction of 2-methylbutan-2-ol,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qLRTD,0.0754,0.4516,298.15,852.803,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0852,0.0163,298.15,990.468,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0911,0.0106,298.15,993.487,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0914,1,298.15,810.717,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.092,0.0052,298.15,996.456,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0966,0.4516,298.15,853.992,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0977,0.0222,298.15,987.985,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.0994,0.6478,298.15,833.679,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1187,0.0052,298.15,997.253,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1251,1,298.15,812.909,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1254,0.4516,298.15,855.554,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1304,0.6478,298.15,835.492,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1361,0.0222,298.15,989.278,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1387,1,298.15,813.842,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1445,0.0052,298.15,998.035,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1451,0.0222,298.15,989.634,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1527,0.0106,298.15,995.428,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1533,0.4516,298.15,857.112,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1541,0.0163,298.15,992.755,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1597,0.6478,298.15,837.146,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1683,0.0052,298.15,998.813,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.173,0.0222,298.15,990.581,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.174,0.0163,298.15,993.325,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1755,0.0106,298.15,996.124,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1888,1,298.15,817.054,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.1991,1,298.15,817.732,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2031,0.0052,298.15,999.811,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2041,0.4516,298.15,859.832,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2073,0.0106,298.15,997.122,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2126,0.6478,298.15,840.141,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2127,0.0163,298.15,994.572,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2185,0.4516,298.15,860.556,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2198,0.0106,298.15,997.496,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2224,0.0052,298.15,1000.33,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2294,0.0222,298.15,992.369,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2314,0.0163,298.15,995.151,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2417,0.6478,298.15,841.801,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2467,0.0222,298.15,992.972,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2484,0.0052,298.15,1001.07,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.251,0.0163,298.15,995.723,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2623,0.4516,298.15,862.858,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2644,0.6478,298.15,843.05,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2663,1,298.15,821.856,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2738,0.0163,298.15,996.523,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
qLRTD,0.2984,0.0106,298.15,999.92,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,56,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide
