setid,"Temperature, K","MolaLity of tetrapropylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IHUIZ,293.15,0.0299,100,1036.79,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,293.15,0.0382,100,1036.96,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,293.15,0.0504,100,1037.2,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,293.15,0.0616,100,1037.42,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,293.15,0.0808,100,1037.8,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,293.15,0.0985,100,1038.13,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,293.15,0.1152,100,1038.44,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,293.15,0.135,100,1038.81,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,293.15,0.1532,100,1039.13,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,298.15,0.0168,100,1032.85,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,298.15,0.0228,100,1032.98,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,298.15,0.0299,100,1033.12,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,298.15,0.0382,100,1033.29,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,298.15,0.0504,100,1033.53,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,298.15,0.0616,100,1033.76,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,298.15,0.0808,100,1034.14,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,298.15,0.0985,100,1034.47,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,298.15,0.1152,100,1034.78,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,298.15,0.135,100,1035.15,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,298.15,0.1532,100,1035.47,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,303.15,0.0168,100,1029.14,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,303.15,0.0228,100,1029.27,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,303.15,0.0299,100,1029.42,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,303.15,0.0382,100,1029.59,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,303.15,0.0504,100,1029.84,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,303.15,0.0616,100,1030.06,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,303.15,0.0808,100,1030.44,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,303.15,0.0985,100,1030.79,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,303.15,0.1152,100,1031.09,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,303.15,0.135,100,1031.46,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,303.15,0.1532,100,1031.79,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,308.15,0.0168,100,1025.39,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,308.15,0.0228,100,1025.53,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,308.15,0.0299,100,1025.68,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,308.15,0.0382,100,1025.85,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,308.15,0.0504,100,1026.1,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,308.15,0.0616,100,1026.33,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,308.15,0.0808,100,1026.71,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,308.15,0.0985,100,1027.06,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,308.15,0.1152,100,1027.36,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,308.15,0.135,100,1027.73,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,308.15,0.1532,100,1028.07,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,313.15,0.0168,100,1021.62,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,313.15,0.0228,100,1021.75,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,313.15,0.0299,100,1021.9,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,313.15,0.0382,100,1022.08,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,313.15,0.0504,100,1022.33,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,313.15,0.0616,100,1022.56,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,313.15,0.0808,100,1022.94,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,313.15,0.0985,100,1023.3,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,313.15,0.1152,100,1023.6,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,313.15,0.135,100,1023.98,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,313.15,0.1532,100,1024.32,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,318.15,0.0168,100,1017.8,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,318.15,0.0228,100,1017.94,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,318.15,0.0299,100,1018.09,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,318.15,0.0382,100,1018.27,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,318.15,0.0504,100,1018.53,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,318.15,0.0616,100,1018.75,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,318.15,0.0808,100,1019.13,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,318.15,0.0985,100,1019.5,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,318.15,0.1152,100,1019.8,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,318.15,0.135,100,1020.19,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
IHUIZ,318.15,0.1532,100,1020.53,Grzybkowski and Warminska (2016),Density,Liquid,AAOgbS,CC(O)CO,"1,2-propanediol",AAzKlv,CCC[N+](CCC)(CCC)CCC.[Br-],tetrapropylammonium bromide,,,
