setid,"Temperature, K","MolaLity of dodecyl(2-hydroxyethyl)dimethylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TZKPl,303.15,0.01003,100,995.989,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.01099,100,996.02,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.01195,100,996.053,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.013,100,996.087,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.01395,100,996.117,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.01498,100,996.147,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.01595,100,996.174,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.01793,100,996.226,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.01991,100,996.278,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.02489,100,996.408,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.02994,100,996.535,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.03493,100,996.667,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.0399,100,996.795,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.04493,100,996.93,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.04982,100,997.055,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,303.15,0.05488,100,997.186,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.00798,100,994.291,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.009,100,994.324,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.01003,100,994.356,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.01099,100,994.387,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.01195,100,994.418,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.013,100,994.451,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.01395,100,994.481,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.01498,100,994.511,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.01595,100,994.537,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.01793,100,994.588,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.01991,100,994.637,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.02489,100,994.766,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.02994,100,994.888,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.03493,100,995.018,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.0399,100,995.142,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.04493,100,995.274,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.04982,100,995.395,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,308.15,0.05488,100,995.52,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.00798,100,992.462,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.009,100,992.494,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,313.15,0.01003,100,992.525,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
