setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of sodium carbonate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YvNVr,293.15,0.00301,84.5,0.035,1002.2,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.00306,84.5,0.035,1002.2,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.00393,84.5,0.035,1002.23,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.00454,84.5,0.035,1002.26,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.00514,84.5,0.035,1002.28,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.00757,84.5,0.035,1002.35,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.01211,84.5,0.035,1002.48,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.01869,84.5,0.035,1002.66,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.0243,84.5,0.035,1002.79,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.03106,84.5,0.035,1002.97,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.04716,84.5,0.035,1003.41,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.06162,84.5,0.035,1003.78,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.07499,84.5,0.035,1004.14,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.09157,84.5,0.035,1004.59,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,293.15,0.11563,84.5,0.035,1005.2,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0,84.5,0.035,1000.88,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.00201,84.5,0.035,1000.95,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.00301,84.5,0.035,1000.99,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.00306,84.5,0.035,1000.99,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.00393,84.5,0.035,1001.02,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.00454,84.5,0.035,1001.04,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.00514,84.5,0.035,1001.06,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.00757,84.5,0.035,1001.13,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.01211,84.5,0.035,1001.26,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.01869,84.5,0.035,1001.43,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.0243,84.5,0.035,1001.55,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.03106,84.5,0.035,1001.73,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.04716,84.5,0.035,1002.15,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.06162,84.5,0.035,1002.51,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.07499,84.5,0.035,1002.85,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.09157,84.5,0.035,1003.28,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,298.15,0.11563,84.5,0.035,1003.88,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0,84.5,0.035,999.439,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.00201,84.5,0.035,999.511,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.00301,84.5,0.035,999.545,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.00306,84.5,0.035,999.546,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.00393,84.5,0.035,999.576,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.00454,84.5,0.035,999.595,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.00514,84.5,0.035,999.617,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.00757,84.5,0.035,999.685,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.01211,84.5,0.035,999.804,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.01869,84.5,0.035,999.971,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.0243,84.5,0.035,1000.09,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.03106,84.5,0.035,1000.26,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.04716,84.5,0.035,1000.66,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.06162,84.5,0.035,1001.01,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.07499,84.5,0.035,1001.34,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.09157,84.5,0.035,1001.76,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,303.15,0.11563,84.5,0.035,1002.33,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0,84.5,0.035,997.791,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.00201,84.5,0.035,997.86,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.00301,84.5,0.035,997.893,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.00306,84.5,0.035,997.895,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.00393,84.5,0.035,997.921,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.00454,84.5,0.035,997.942,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.00514,84.5,0.035,997.962,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.00757,84.5,0.035,998.026,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.01211,84.5,0.035,998.141,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.01869,84.5,0.035,998.303,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.0243,84.5,0.035,998.418,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.03106,84.5,0.035,998.577,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.04716,84.5,0.035,998.975,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.06162,84.5,0.035,999.309,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.07499,84.5,0.035,999.623,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.09157,84.5,0.035,1000.03,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,308.15,0.11563,84.5,0.035,1000.58,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
YvNVr,313.15,0,84.5,0.035,995.95,Golabiazar and Sadeghi (2014b),Density,Liquid,AAUTyA,O=C([O-])[O-].[Na+].[Na+],sodium carbonate,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
