setid,"Temperature, K",Mole fraction of 1-propylpyridinium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LiuOn,313.15,0.6904,101,1201.32,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.8011,101,1218.9,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.8824,101,1229.8,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,0.94,101,1236.3,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,313.15,1,101,1242.4,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0,101,762.828,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.028,101,820.035,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.0577,101,867.868,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.0967,101,918.92,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.1459,101,970.736,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.1952,101,1011.68,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.3213,101,1086.6,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.4002,101,1119.59,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.4965,101,1150.3,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.5988,101,1175.76,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.6904,101,1193.84,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.8011,101,1211.54,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.8824,101,1222.6,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,0.94,101,1229.2,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
LiuOn,323.15,1,101,1235.3,Garcia-Mardones et al. (2014a),Density,Liquid,AAGIBL,CO,methanol,AAoJgc,CCC[n+]1ccccc1.F[B-](F)(F)F,1-propylpyridinium tetrafluoroborate,,,
