setid,Solvent: Mole fraction of acetonitrile,"MolaLity of tetrabutylammonium perchlorate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oXosW,0.7,0.01955,101,298.15,874.61,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.7,0.03089,101,298.15,877.49,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.7,0.04757,101,298.15,881.93,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.7,0.07352,101,298.15,888.92,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.7,0.10341,101,298.15,897.61,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.8,0.02369,101,298.15,854.33,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.8,0.03876,101,298.15,858.31,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.8,0.05735,101,298.15,863.28,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.8,0.08517,101,298.15,870.85,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.8,0.11862,101,298.15,880.24,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.9,0.02508,101,298.15,824.89,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.9,0.03882,101,298.15,828.44,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.9,0.06032,101,298.15,834.09,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.9,0.0933,101,298.15,842.87,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
oXosW,0.9,0.12826,101,298.15,852.3,Gill et al. (2010),Density,Liquid,AAHueB,CC#N,acetonitrile,AAUprP,N#CCCCCC#N,hexanedinitrile,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate
