setid,"Temperature, K",Mole fraction of N-butyl-N-methylpiperidinium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JJGud,303.15,0.06,100,1094.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,303.15,0.089,100,1122.9,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,303.15,0.124,100,1146.9,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,303.15,0.159,100,1164,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,303.15,0.195,100,1176.9,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,303.15,0.244,100,1189.7,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,303.15,0.271,100,1195.4,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,308.15,0,100,994,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,308.15,0.03,100,1051.9,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,308.15,0.06,100,1091.5,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,308.15,0.089,100,1119.4,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,308.15,0.124,100,1143.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,308.15,0.159,100,1160.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,308.15,0.195,100,1173.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,308.15,0.244,100,1186.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,308.15,0.271,100,1191.8,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,313.15,0,100,992.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,313.15,0.03,100,1049.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,313.15,0.06,100,1088.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,313.15,0.089,100,1116,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,313.15,0.124,100,1139.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,313.15,0.159,100,1156.7,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,313.15,0.195,100,1169.7,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,313.15,0.244,100,1182.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,313.15,0.271,100,1188.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,318.15,0,100,990.1,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,318.15,0.03,100,1045.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,318.15,0.06,100,1085.1,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,318.15,0.089,100,1112.4,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,318.15,0.124,100,1135.9,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,318.15,0.159,100,1153,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,318.15,0.195,100,1166,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,318.15,0.244,100,1179,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,318.15,0.271,100,1184.7,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,323.15,0,100,987.9,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,323.15,0.03,100,1042.7,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,323.15,0.06,100,1081.8,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,323.15,0.089,100,1108.8,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,323.15,0.124,100,1132.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,323.15,0.159,100,1149.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,323.15,0.195,100,1162.4,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,323.15,0.244,100,1175.4,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,323.15,0.271,100,1181.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,328.15,0,100,985.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,328.15,0.03,100,1040,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,328.15,0.06,100,1078.4,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,328.15,0.089,100,1105.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,328.15,0.124,100,1128.5,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,328.15,0.159,100,1145.5,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,328.15,0.195,100,1158.7,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,328.15,0.244,100,1171.8,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,328.15,0.271,100,1177.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,333.15,0,100,983.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,333.15,0.03,100,1035.9,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,333.15,0.06,100,1075,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,333.15,0.089,100,1101.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,333.15,0.124,100,1124.8,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,333.15,0.159,100,1141.8,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,333.15,0.195,100,1155,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,333.15,0.244,100,1168.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,333.15,0.271,100,1174,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,338.15,0,100,980.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,338.15,0.03,100,1031.9,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,338.15,0.06,100,1071.4,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,338.15,0.089,100,1097.9,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,338.15,0.124,100,1121,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,338.15,0.159,100,1138,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,338.15,0.195,100,1151.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,338.15,0.244,100,1164.5,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,338.15,0.271,100,1170.4,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,343.15,0,100,978.1,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,343.15,0.03,100,1027.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,343.15,0.06,100,1067.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,343.15,0.089,100,1094.1,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,343.15,0.124,100,1117.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,343.15,0.159,100,1134.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,343.15,0.195,100,1147.6,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,343.15,0.244,100,1160.9,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,343.15,0.271,100,1166.8,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,348.15,0,100,974.8,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,348.15,0.03,100,1023.3,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,348.15,0.06,100,1064.1,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,348.15,0.089,100,1090.4,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,348.15,0.124,100,1113.4,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,348.15,0.159,100,1130.5,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,348.15,0.195,100,1143.8,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,348.15,0.244,100,1157.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
JJGud,348.15,0.271,100,1163.2,Krolikowska et al. (2019b),Density,Liquid,AAtVXq,CCCC[N+]1(C)CCCCC1.[Br-],N-butyl-N-methylpiperidinium bromide,AADYJk,O,water,,,
