setid,"Temperature, K",Mole fraction of tributyl(dodecyl)phosphonium 2-cyanopyrrolide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YskBV,303.15,0.01,100,1111,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.014,100,1108,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.027,100,1099,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.035,100,1094,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.042,100,1089,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.054,100,1082,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.065,100,1075,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.075,100,1069,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.096,100,1059,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.121,100,1046,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.177,100,1025,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.244,100,1005,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.324,100,986,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.43,100,966,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,0.538,100,951,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,303.15,1,100,912,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0,100,1111,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.004,100,1110,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.007,100,1108,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.01,100,1105,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.014,100,1103,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.027,100,1094,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.035,100,1089,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.042,100,1084,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.054,100,1076,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.065,100,1070,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.075,100,1064,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.096,100,1053,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.121,100,1041,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.177,100,1019,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.244,100,999,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.324,100,980,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.43,100,960,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,0.538,100,945,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,313.15,1,100,906,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.004,100,1104,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.007,100,1102,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.01,100,1100,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.014,100,1097,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.027,100,1088,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.035,100,1083,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.042,100,1078,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.054,100,1071,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.065,100,1064,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.075,100,1058,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.096,100,1047,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.121,100,1035,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.177,100,1013,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.244,100,993,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.324,100,974,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.43,100,954,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,0.538,100,939,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
YskBV,323.15,1,100,900,Nordness et al. (2020),Density,Liquid,ABkzcG,CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.N#Cc1ccc[n-]1,tributyl(dodecyl)phosphonium 2-cyanopyrrolide,AAcjhv,OCCN(CCO)CCO,triethanolamine,,,
