setid,"MolaLity of tetraphenylphosphonium chloride, mol/kg",Solvent: Mole fraction of 2-methylbutan-2-ol,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HAUKK,0.0703,1,298.15,813.232,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0725,0.0106,298.15,995.239,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.073,0.4516,298.15,855.758,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0764,0.0163,298.15,992.529,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0768,0.0222,298.15,989.237,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0837,1,298.15,814.865,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0886,0.4516,298.15,857.279,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0909,0.0106,298.15,996.441,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.091,0.0163,298.15,993.441,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0934,0.0222,298.15,990.265,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.0934,0.6478,298.15,837.622,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1207,0.0052,298.15,1001.12,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1213,0.0106,298.15,998.374,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1219,0.6478,298.15,840.628,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1221,0.0163,298.15,995.423,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1222,0.4516,298.15,860.566,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.123,1,298.15,819.575,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1256,0.0222,298.15,992.26,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1405,0.0163,298.15,996.496,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1415,0.6478,298.15,842.619,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1417,0.0052,298.15,1002.38,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1432,0.0106,298.15,999.694,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1459,1,298.15,822.192,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.146,0.4516,298.15,862.834,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1477,0.0222,298.15,993.621,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1549,0.6478,298.15,844.004,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1559,0.0222,298.15,994.092,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.166,0.0106,298.15,1001.13,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1673,0.0052,298.15,1003.85,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.169,0.4516,298.15,864.995,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1698,1,298.15,824.939,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1756,0.0163,298.15,998.698,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1806,0.0222,298.15,995.626,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1835,0.0163,298.15,999.154,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1907,0.4516,298.15,867.002,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1908,0.4516,298.15,867.009,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1981,0.0222,298.15,996.689,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.1995,1,298.15,828.243,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2001,0.0052,298.15,1005.8,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2009,0.0106,298.15,1003.26,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2037,0.0163,298.15,1000.32,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2131,0.6478,298.15,849.787,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2184,0.0052,298.15,1006.78,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2213,1,298.15,830.674,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2216,0.0222,298.15,998.09,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2246,0.0106,298.15,1004.69,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2465,0.6478,298.15,853.024,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2524,0.0052,298.15,1008.72,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2575,0.0106,298.15,1006.57,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2647,0.0222,298.15,1000.67,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
HAUKK,0.2682,1,298.15,835.799,Garcia-Paneda et al. (2004),Density,Liquid,Gas,,61,AAQxyw,CCC(C)(C)O,2-methylbutan-2-ol,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride
