setid,"Temperature, K","MolaLity of N-methyl-N-octylmorpholinium N-acetyl-L-alaninate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yVGOX,293.15,0.31162,101,1013.51,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,298.15,0,101,997.044,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,298.15,0.02001,101,998.051,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,298.15,0.03004,101,999.079,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,298.15,0.04992,101,999.71,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,298.15,0.07153,101,1001.19,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,298.15,0.09708,101,1001.97,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,298.15,0.12655,101,1003.41,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,298.15,0.16251,101,1005.18,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,298.15,0.20117,101,1006.98,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,298.15,0.2457,101,1009.13,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,298.15,0.31162,101,1012.1,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,303.15,0,101,995.646,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,303.15,0.02001,101,996.638,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,303.15,0.03004,101,997.652,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,303.15,0.04992,101,998.276,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,303.15,0.07153,101,999.738,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,303.15,0.09708,101,1000.51,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,303.15,0.12655,101,1001.93,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,303.15,0.16251,101,1003.66,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,303.15,0.20117,101,1005.43,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,303.15,0.2457,101,1007.56,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,303.15,0.31162,101,1010.48,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,308.15,0,101,994.032,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,308.15,0.02001,101,995.011,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,308.15,0.03004,101,996.015,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,308.15,0.04992,101,996.63,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,308.15,0.07153,101,998.075,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,308.15,0.09708,101,998.836,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,308.15,0.12655,101,1000.24,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,308.15,0.16251,101,1001.95,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,308.15,0.20117,101,1003.7,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,308.15,0.2457,101,1005.8,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,308.15,0.31162,101,1008.68,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,313.15,0,101,992.214,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,313.15,0.02001,101,993.186,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,313.15,0.03004,101,994.178,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,313.15,0.04992,101,994.788,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,313.15,0.07153,101,996.217,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,313.15,0.09708,101,996.971,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,313.15,0.12655,101,998.354,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,313.15,0.16251,101,1000.05,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,313.15,0.20117,101,1001.78,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,313.15,0.2457,101,1003.85,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
yVGOX,313.15,0.31162,101,1006.69,Warminska and Smiechowski (2022),Density,Liquid,ABOMda,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCCCC[N+]1(C)CCOCC1,N-methyl-N-octylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
