setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium tetrafluoroborate,Mole fraction of propan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JDkzq,303.15,0.8533,0.092,101,1123.81,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,313.15,0.0993,0.5961,101,869.44,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,313.15,0.0995,0.3004,101,865.87,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,313.15,0.0996,0.5015,101,867.6,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,313.15,0.0999,0.101,101,863.51,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,313.15,0.1002,0.4006,101,867.02,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,313.15,0.1004,0.6984,101,871.92,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,313.15,0.1006,0.7991,101,874.32,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,313.15,0.1013,0.2007,101,866.31,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,313.15,0.1931,0.2335,101,924.8,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,313.15,0.1968,0.3019,101,928.49,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
JDkzq,313.15,0.1977,0.7009,101,934.54,Kermanpour and Sharifi (2014),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,AALcLI,CCCO,propan-1-ol,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate
