setid,Mole fraction of propan-2-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kgdVt,0.2344,303.15,101,1345.8,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.2344,308.15,101,1341.3,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.3929,298.15,101,1308.33,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.3929,303.15,101,1303.81,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.3929,308.15,101,1299.32,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.4935,298.15,101,1273.95,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.4935,303.15,101,1269.38,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.4935,308.15,101,1264.81,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.5927,298.15,101,1230.64,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.5927,303.15,101,1226.03,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.5927,308.15,101,1221.41,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.718,298.15,101,1155.54,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.718,303.15,101,1150.91,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.718,308.15,101,1146.27,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.8015,298.15,101,1086.25,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.8015,303.15,101,1081.65,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.8015,308.15,101,1077.01,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.9018,298.15,101,967.03,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.9018,303.15,101,962.54,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.9018,308.15,101,957.99,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.9491,298.15,101,889.7,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.9491,303.15,101,885.31,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,0.9491,308.15,101,880.85,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,1,298.15,101,781.06,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,1,303.15,101,776.8,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
kgdVt,1,308.15,101,772.46,Gonzalez et al. (2013e),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
