setid,Solvent: Weight fraction of 2-methoxyethan-1-ol,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wNlCs,0,288.15,0.00977,101,999.7,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.01069,101,999.7,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.01212,101,999.8,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.0129,101,999.9,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.01429,101,999.9,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.01494,101,1000,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,288.15,0.01645,101,1000,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,298.15,0,101,997.1,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,298.15,0.00102,101,997.3,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,298.15,0.00198,101,997.3,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,298.15,0.00317,101,997.3,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,298.15,0.00399,101,997.4,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
wNlCs,0,298.15,0.00479,101,997.4,Kumar et al. (2016),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
