setid,Solvent: Weight fraction of trimethylbenzylammonium chloride,"Temperature, K","MolaLity of sodium benzoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AAIuX,0.001,303.15,0.0705,100,999.3,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,303.15,0.0858,100,1000.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,308.15,0.01,100,992.8,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,308.15,0.0251,100,993.6,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,308.15,0.0402,100,994.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,308.15,0.0554,100,995.6,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,308.15,0.0705,100,996.7,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,308.15,0.0858,100,997.9,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,313.15,0.01,100,987.2,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,313.15,0.0251,100,988,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,313.15,0.0402,100,989,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,313.15,0.0554,100,990,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,313.15,0.0705,100,991,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,313.15,0.0858,100,992.1,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,318.15,0.01,100,984.7,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,318.15,0.0251,100,985.4,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,318.15,0.0402,100,986.3,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,318.15,0.0554,100,987.3,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,318.15,0.0705,100,988.4,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.001,318.15,0.0858,100,989.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,298.15,0.01,100,997.9,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,298.15,0.0251,100,998.6,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,298.15,0.0402,100,999.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,298.15,0.0554,100,1000.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,298.15,0.0705,100,1001.7,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,298.15,0.0858,100,1002.9,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,303.15,0.01,100,995.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,303.15,0.0251,100,996.2,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,303.15,0.0402,100,997.2,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,303.15,0.0554,100,998.2,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,303.15,0.0705,100,999.4,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,303.15,0.0858,100,1000.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,308.15,0.01,100,993,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,308.15,0.0251,100,993.7,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,308.15,0.0402,100,994.6,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,308.15,0.0554,100,995.6,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,308.15,0.0705,100,996.7,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,308.15,0.0858,100,997.8,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,313.15,0.01,100,984.3,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,313.15,0.0251,100,984.9,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,313.15,0.0402,100,985.7,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,313.15,0.0554,100,986.6,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,313.15,0.0705,100,987.8,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,313.15,0.0858,100,988.9,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,318.15,0.01,100,981.8,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,318.15,0.0251,100,982.3,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,318.15,0.0402,100,983.1,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,318.15,0.0554,100,984,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,318.15,0.0705,100,985.2,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.003,318.15,0.0858,100,986.3,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,298.15,0.01,100,997.3,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,298.15,0.0251,100,998,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,298.15,0.0402,100,998.8,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,298.15,0.0554,100,999.7,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,298.15,0.0705,100,1000.9,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,298.15,0.0858,100,1002,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,303.15,0.01,100,995.8,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,303.15,0.0251,100,996.4,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,303.15,0.0402,100,997.2,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,303.15,0.0554,100,998.1,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,303.15,0.0705,100,999.1,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,303.15,0.0858,100,1000.2,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,308.15,0.01,100,993.3,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,308.15,0.0251,100,993.9,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,308.15,0.0402,100,994.6,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,308.15,0.0554,100,995.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,308.15,0.0705,100,996.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,308.15,0.0858,100,997.6,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,313.15,0.01,100,978.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,313.15,0.0251,100,979,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,313.15,0.0402,100,979.6,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,313.15,0.0554,100,980.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,313.15,0.0705,100,981.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,313.15,0.0858,100,982.7,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,318.15,0.01,100,976,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,318.15,0.0251,100,976.5,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,318.15,0.0402,100,977.1,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,318.15,0.0554,100,977.9,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,318.15,0.0705,100,978.8,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
AAIuX,0.005,318.15,0.0858,100,980.1,Rajbanshi et al. (2019),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AADYJk,O,water
