setid,"Temperature, K","MolaLity of cholinium propanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
frfAP,293.15,0.9794,101,1012.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,293.15,1.1043,101,1014.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,293.15,1.1995,101,1015.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,0,101,997,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,0.0888,101,998.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,0.2087,101,1000.3,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,0.3519,101,1002.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,0.4125,101,1003.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,0.5208,101,1005,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,0.6072,101,1006.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,0.6806,101,1007.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,0.8029,101,1009,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,0.8782,101,1010,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,0.9794,101,1011.3,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,1.1043,101,1013,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,298.15,1.1995,101,1014.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,0,101,995.7,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,0.0888,101,997,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,0.2087,101,998.9,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,0.3519,101,1001,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,0.4125,101,1001.9,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,0.5208,101,1003.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,0.6072,101,1004.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,0.6806,101,1005.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,0.8029,101,1007.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,0.8782,101,1008.3,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,0.9794,101,1009.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,1.1043,101,1011.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,303.15,1.1995,101,1012.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,0,101,994,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,0.0888,101,995.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,0.2087,101,997.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,0.3519,101,999.3,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,0.4125,101,1000.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,0.5208,101,1001.7,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,0.6072,101,1002.9,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,0.6806,101,1004,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,0.8029,101,1005.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,0.8782,101,1006.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,0.9794,101,1007.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,1.1043,101,1009.3,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,308.15,1.1995,101,1010.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,0,101,992.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,0.0888,101,993.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,0.2087,101,995.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,0.3519,101,997.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,0.4125,101,998.3,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,0.5208,101,999.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,0.6072,101,1000.9,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,0.6806,101,1002,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,0.8029,101,1003.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,0.8782,101,1004.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,0.9794,101,1005.7,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,1.1043,101,1007.3,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,313.15,1.1995,101,1008.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,0,101,990.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,0.0888,101,991.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,0.2087,101,993.3,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,0.3519,101,995.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,0.4125,101,996.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,0.5208,101,997.7,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,0.6072,101,998.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,0.6806,101,999.9,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,0.8029,101,1001.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,0.8782,101,1002.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,0.9794,101,1003.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,1.1043,101,1005.1,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,318.15,1.1995,101,1006.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,0,101,988,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,0.0888,101,989.3,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,0.2087,101,991.1,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,0.3519,101,993.1,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,0.4125,101,994,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,0.5208,101,995.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,0.6072,101,996.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,0.6806,101,997.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,0.8029,101,999.1,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,0.8782,101,1000.1,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,0.9794,101,1001.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,1.1043,101,1002.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,323.15,1.1995,101,1003.9,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,0,101,985.7,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,0.0888,101,987,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,0.2087,101,988.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,0.3519,101,990.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,0.4125,101,991.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,0.5208,101,993,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,0.6072,101,994.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,0.6806,101,995.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,0.8029,101,996.7,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,0.8782,101,997.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,0.9794,101,998.9,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,1.1043,101,1000.3,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,328.15,1.1995,101,1001.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,0,101,983.1,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,0.0888,101,984.4,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,0.2087,101,986.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,0.3519,101,988.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,0.4125,101,989,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,0.5208,101,990.5,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,0.6072,101,991.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,0.6806,101,992.6,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,0.8029,101,994.1,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,0.8782,101,995,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,0.9794,101,996.2,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,1.1043,101,997.7,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
frfAP,333.15,1.1995,101,998.8,Panda et al. (2018),Density,Liquid,AAiEum,CCC(=O)[O-].C[N+](C)(C)CCO,cholinium propanoate,AADYJk,O,water,,,
