setid,Weight fraction of tetraethylammonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JfSmQ,0.2167,298.15,101.3,952.4,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2167,303.15,101.3,948.9,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2167,308.15,101.3,945.3,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2167,313.15,101.3,941.8,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2167,318.15,101.3,938.2,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2167,323.15,101.3,934.7,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2167,328.15,101.3,931.1,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2167,333.15,101.3,927.6,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2664,293.15,101.3,958.9,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2664,298.15,101.3,955.5,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2664,303.15,101.3,952,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2664,308.15,101.3,948.5,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2664,313.15,101.3,945,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2664,318.15,101.3,941.5,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2664,323.15,101.3,938.1,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2664,328.15,101.3,934.6,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
JfSmQ,0.2664,333.15,101.3,931.1,Nowosielski et al. (2023),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
