setid,Mole fraction of cyclohexane,"Mole fraction of 1,2-dimethylbenzene","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zHvwK,0.01,0.013,303.15,101.3,11.571,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.01,0.025,303.15,101.3,11.516,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.01,0.034,303.15,101.3,11.504,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.01,0.066,303.15,101.3,11.412,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.01,0.072,303.15,101.3,11.437,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.01,0.077,303.15,101.3,11.362,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.011,0.057,303.15,101.3,11.457,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.1237,0.005,303.15,101.3,8.513,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.1267,0.004,303.15,101.3,8.494,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.1662,0.004,303.15,101.3,8.456,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.2651,0.005,303.15,101.3,8.338,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.3015,0.007,303.15,101.3,8.322,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.3227,0.007,303.15,101.3,8.276,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.4949,0.01,303.15,101.3,8.103,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.5436,0.01,303.15,101.3,8.022,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.551,0.01,303.15,101.3,8.044,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.5771,0.009,303.15,101.3,8.005,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.6176,0.011,303.15,101.3,7.97,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.6703,0.009,303.15,101.3,7.925,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.704,0.009,303.15,101.3,7.847,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.748,0.01,303.15,101.3,7.847,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.8083,0.01,303.15,101.3,7.793,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.8726,0.01,303.15,101.3,7.785,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
zHvwK,0.9679,0.01,303.15,101.3,7.652,Abu-Eishah and Dowaidar (2008),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
