setid,"Temperature, K","Moles per mass of solution: tetraethylammonium perchlorate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sjBrc,293.15,0.04218,101,950.975,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,293.15,0.06274,101,952.142,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,293.15,0.08215,101,953.234,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,293.15,0.1147,101,955.047,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,293.15,0.1455,101,956.775,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,293.15,0.1761,101,958.473,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,293.15,0.2062,101,960.139,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,298.15,0,101,943.79,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,298.15,0.02269,101,945.114,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,298.15,0.04218,101,946.237,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,298.15,0.06274,101,947.409,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,298.15,0.08215,101,948.513,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,298.15,0.1147,101,950.338,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,298.15,0.1455,101,952.082,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,298.15,0.1761,101,953.791,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,298.15,0.2062,101,955.471,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,303.15,0,101,939.014,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,303.15,0.02269,101,940.349,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,303.15,0.04218,101,941.482,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,303.15,0.06274,101,942.667,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,303.15,0.08215,101,943.781,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,303.15,0.1147,101,945.623,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,303.15,0.1455,101,947.378,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,303.15,0.1761,101,949.101,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,303.15,0.2062,101,950.793,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,313.15,0,101,929.43,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,313.15,0.02269,101,930.795,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,313.15,0.04218,101,931.951,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,313.15,0.06274,101,933.155,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,313.15,0.08215,101,934.288,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,313.15,0.1147,101,936.165,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,313.15,0.1455,101,937.945,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,313.15,0.1761,101,939.7,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,313.15,0.2062,101,941.419,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,323.15,0,101,919.797,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,323.15,0.02269,101,921.19,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,323.15,0.04218,101,922.369,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,323.15,0.06274,101,923.599,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,323.15,0.08215,101,924.748,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,323.15,0.1147,101,926.661,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,323.15,0.1455,101,928.473,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,323.15,0.1761,101,930.257,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,323.15,0.2062,101,932.007,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,333.15,0,101,910.117,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,333.15,0.02269,101,911.533,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,333.15,0.04218,101,912.731,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,333.15,0.06274,101,913.987,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,333.15,0.08215,101,915.156,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,333.15,0.1147,101,917.106,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,333.15,0.1455,101,918.957,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,333.15,0.1761,101,920.766,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
sjBrc,333.15,0.2062,101,922.55,Placzek et al. (2006),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
