setid,"MolaLity of hydrogen sulfide, mol/kg","Temperature, K","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Effgu,0.37,333.15,382.4,0.0002748,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.464,323.15,398.4,0.0002643,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.5,303.15,283.5,0.0002565,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.546,313.15,383.4,0.0002554,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.549,343.15,642,0.000263,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.552,333.15,555.3,0.0002601,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.666,303.15,372.3,0.0002442,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.702,323.15,584.4,0.0002468,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.738,343.15,834.4,0.0002499,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.752,333.15,734.1,0.0002462,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.762,313.15,522,0.0002403,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.865,303.15,474.2,0.0002313,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.907,343.15,997.4,0.0002396,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.917,323.15,742.2,0.0002334,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.946,333.15,897.3,0.0002345,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,0.995,313.15,663.4,0.0002264,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.084,343.15,1158.4,0.00023,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.098,303.15,587.5,0.0002183,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.128,333.15,1040.9,0.0002248,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.153,323.15,904.4,0.0002208,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.236,313.15,802,0.0002141,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.3,343.15,1345.3,0.0002198,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.359,303.15,707.5,0.0002058,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.365,323.15,1038.9,0.000211,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.461,333.15,1284.1,0.0002099,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.493,343.15,1489.8,0.0002118,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.498,313.15,942.3,0.0002027,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.622,323.15,1188.5,0.0002007,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.632,303.15,830.5,0.0001949,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.712,333.15,1458,0.0002005,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.767,313.15,1076.4,0.0001927,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.915,323.15,1357,0.0001908,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,1.955,333.15,1596.2,0.0001927,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,2.005,303.15,979.1,0.0001824,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,2.221,313.15,1278,0.0001789,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,2.27,323.15,1534.5,0.0001807,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,2.32,303.15,1091.9,0.0001736,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,2.522,313.15,1397.8,0.0001714,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,3.002,303.15,1295.5,0.0001587,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,3.12,313.15,1596,0.0001594,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,3.541,303.15,1421.7,0.0001498,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
Effgu,4.121,303.15,1511.2,0.0001414,Jalili et al. (2022),Density,Liquid,AAGcjK,S,hydrogen sulfide,ABjJPt,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,,,
