setid,"Temperature, K",Weight fraction of water,"Pressure, kPa",Solvent: Weight ratio of lithium nitrate to other component of binary solvent,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PUbXg,353.15,0.35,100,2,1298,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,353.15,0.4,100,2,1268,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,353.15,0.45,100,2,1242,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,363.15,0.25,100,2,1345,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,363.15,0.3,100,2,1320,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,363.15,0.35,100,2,1291,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,363.15,0.4,100,2,1261,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,363.15,0.45,100,2,1235,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,373.15,0.25,100,2,1337,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,373.15,0.3,100,2,1313,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,373.15,0.35,100,2,1285,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,373.15,0.4,100,2,1255,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
PUbXg,373.15,0.45,100,2,1227,Luo et al. (2017a),Density,Liquid,AADYJk,O,water,AANNYY,O=[N+]([O-])[O-].[Li+],lithium nitrate,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
