setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium acetate, mol/kg","MolaLity of N-(.beta.-aminoethyl)piperazine), mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
obfAO,303.15,2.5,0,101,1027.2,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,303.15,2.5,0.5,101,1030.2,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,308.15,2,0,101,1019.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,308.15,2,1,101,1026.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,308.15,2.25,0,101,1022.2,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,308.15,2.25,0.75,101,1027.3,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,308.15,2.5,0,101,1024.4,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,308.15,2.5,0.5,101,1027.3,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,313.15,2,0,101,1016.8,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,313.15,2,1,101,1023.6,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,313.15,2.25,0,101,1019.4,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,313.15,2.25,0.75,101,1024.3,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,313.15,2.5,0,101,1021.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,313.15,2.5,0.5,101,1024.3,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,318.15,2,0,101,1014,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,318.15,2,1,101,1020.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,318.15,2.25,0,101,1016.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,318.15,2.25,0.75,101,1021.2,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,318.15,2.5,0,101,1018.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,318.15,2.5,0.5,101,1021.3,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,323.15,2,0,101,1011.1,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,323.15,2,1,101,1017.4,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,323.15,2.25,0,101,1013.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,323.15,2.25,0.75,101,1018.1,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,323.15,2.5,0,101,1015.4,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,323.15,2.5,0.5,101,1018.1,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,328.15,2,0,101,1008.1,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,328.15,2,1,101,1014.2,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,328.15,2.25,0,101,1010.5,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,328.15,2.25,0.75,101,1014.9,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,328.15,2.5,0,101,1012.3,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,328.15,2.5,0.5,101,1014.9,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,333.15,2,0,101,1005,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,333.15,2,1,101,1010.9,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,333.15,2.25,0,101,1007.3,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,333.15,2.25,0.75,101,1011.6,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,333.15,2.5,0,101,1009.1,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
obfAO,333.15,2.5,0.5,101,1011.6,Balchandani et al. (2020),Density,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,AAYsHq,NCCN1CCNCC1,N-(.beta.-aminoethyl)piperazine),AADYJk,O,water
