setid,"Solvent: MolaLity of N,N,N-trimethyl-1-decanaminium bromide, mol/kg","MolaLity of 1-nitropentane, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QgvNl,0.339,0.00899,101,298,-0.044,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.3501,0.009,101,298,-0.041,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.3658,0.00897,101,298,-0.047,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.3697,0.00899,101,298,-0.052,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.3741,0.00898,101,298,-0.048,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.383,0.00898,101,298,-0.037,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.398,0.00899,101,298,-0.036,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.3992,0.009,101,298,-0.052,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.425,0.00899,101,298,-0.04,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.445,0.00898,101,298,-0.047,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.4973,0.00898,101,298,-0.39,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.5,0.009,101,298,-0.047,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.573,0.00898,101,298,-0.044,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.6001,0.00899,101,298,-0.056,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.608,0.00899,101,298,-0.054,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
QgvNl,0.696,0.00899,101,298,-0.061,De Lisi et al. (1989a),Density,Liquid,AAWbFG,CCCCC[N+](=O)[O-],1-nitropentane,ABBuyO,CCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-decanaminium bromide",AADYJk,O,water
