setid,"Temperature, K","MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrapentylammonium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fGqTI,298.15,0.0002,100,0.01,997.026,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,298.15,0.0003,100,0.01,997.032,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,298.15,0.0004,100,0.01,997.038,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,298.15,0.0005,100,0.01,997.043,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,298.15,0.0006,100,0.01,997.048,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,298.15,0.0007,100,0.01,997.054,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,298.15,0.0008,100,0.01,997.057,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,298.15,0.0009,100,0.01,997.064,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,298.15,0.001,100,0.01,997.071,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,303.15,0.0001,100,0.01,995.711,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,303.15,0.0002,100,0.01,995.716,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,303.15,0.0003,100,0.01,995.722,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,303.15,0.0004,100,0.01,995.728,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,303.15,0.0005,100,0.01,995.733,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,303.15,0.0006,100,0.01,995.738,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,303.15,0.0007,100,0.01,995.743,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,303.15,0.0008,100,0.01,995.747,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,303.15,0.0009,100,0.01,995.753,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,303.15,0.001,100,0.01,995.758,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,308.15,0.0001,100,0.01,994.058,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,308.15,0.0002,100,0.01,994.063,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,308.15,0.0003,100,0.01,994.067,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,308.15,0.0004,100,0.01,994.073,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,308.15,0.0005,100,0.01,994.079,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,308.15,0.0006,100,0.01,994.084,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,308.15,0.0007,100,0.01,994.088,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,308.15,0.0008,100,0.01,994.093,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,308.15,0.0009,100,0.01,994.098,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,308.15,0.001,100,0.01,994.103,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,313.15,0.0001,100,0.01,991.936,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,313.15,0.0002,100,0.01,991.941,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,313.15,0.0003,100,0.01,991.945,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,313.15,0.0004,100,0.01,991.95,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,313.15,0.0005,100,0.01,991.955,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,313.15,0.0006,100,0.01,991.959,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,313.15,0.0007,100,0.01,991.964,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,313.15,0.0008,100,0.01,991.968,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,313.15,0.0009,100,0.01,991.973,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,313.15,0.001,100,0.01,991.978,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,318.15,0.0001,100,0.01,990.168,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,318.15,0.0002,100,0.01,990.173,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,318.15,0.0003,100,0.01,990.178,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,318.15,0.0004,100,0.01,990.185,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,318.15,0.0005,100,0.01,990.191,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,318.15,0.0006,100,0.01,990.196,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,318.15,0.0007,100,0.01,990.203,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,318.15,0.0008,100,0.01,990.208,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,318.15,0.0009,100,0.01,990.212,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
fGqTI,318.15,0.001,100,0.01,990.215,Kaur and Chauhan (2020),Density,Liquid,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
