setid,"Temperature, K","MolaLity of 1,3-dibutylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jmpUS,298.15,0.0405,100,998.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,303.15,0,100,995.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,303.15,0.0108,100,995.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,303.15,0.0152,100,996.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,303.15,0.0216,100,996.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,303.15,0.0257,100,996.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,303.15,0.0304,100,996.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,303.15,0.0354,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,303.15,0.0405,100,997.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,308.15,0,100,994,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,308.15,0.0108,100,994.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,308.15,0.0152,100,994.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,308.15,0.0216,100,994.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,308.15,0.0257,100,994.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,308.15,0.0304,100,995,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,308.15,0.0354,100,995.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
jmpUS,308.15,0.0405,100,995.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,AAyMUr,CCCCn1cc[n+](CCCC)c1.[Br-],"1,3-dibutylimidazolium bromide",,,
