setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of D-mannose, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RCtFB,293.15,0.0249,86,0.5,1031.69,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.02909,86,0.5,1031.83,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.03369,86,0.5,1031.97,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.03711,86,0.5,1032.08,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.04152,86,0.5,1032.21,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.04586,86,0.5,1032.32,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.052,86,0.5,1032.48,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.0873,86,0.5,1033.37,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.1384,86,0.5,1034.64,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.1954,86,0.5,1036,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.2502,86,0.5,1037.28,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.2788,86,0.5,1037.93,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,293.15,0.3664,86,0.5,1039.88,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0,86,0.5,1029.51,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.01481,86,0.5,1029.99,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.01942,86,0.5,1030.12,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.0249,86,0.5,1030.3,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.02909,86,0.5,1030.42,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.03369,86,0.5,1030.57,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.03711,86,0.5,1030.67,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.04152,86,0.5,1030.79,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.04586,86,0.5,1030.9,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.052,86,0.5,1031.05,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.0873,86,0.5,1031.91,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.1384,86,0.5,1033.13,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.1954,86,0.5,1034.45,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.2502,86,0.5,1035.69,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.2788,86,0.5,1036.32,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,298.15,0.3664,86,0.5,1038.19,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0,86,0.5,1027.94,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.01481,86,0.5,1028.39,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.01942,86,0.5,1028.52,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.0249,86,0.5,1028.69,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.02909,86,0.5,1028.81,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.03369,86,0.5,1028.94,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.03711,86,0.5,1029.05,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.04152,86,0.5,1029.16,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.04586,86,0.5,1029.27,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.052,86,0.5,1029.42,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.0873,86,0.5,1030.25,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.1384,86,0.5,1031.43,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.1954,86,0.5,1032.7,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.2502,86,0.5,1033.9,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.2788,86,0.5,1034.51,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
RCtFB,303.15,0.3664,86,0.5,1036.33,Zamani et al. (2018),Density,Liquid,AAihdN,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,D-mannose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
