setid,"Temperature, K",Weight fraction of 1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CGjjZ,298.15,0.6995,100,1236,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,298.15,0.801,100,1272.5,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,298.15,0.8988,100,1316.2,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,298.15,1,100,1363.3,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,303.15,0,100,995.7,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,303.15,0.0997,100,1024.1,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,303.15,0.2,100,1054.7,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,303.15,0.2989,100,1091.5,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,303.15,0.395,100,1129.1,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,303.15,0.4996,100,1164.2,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,303.15,0.6045,100,1197,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,303.15,0.6995,100,1232.4,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,303.15,0.801,100,1269.3,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,303.15,0.8988,100,1313,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,303.15,1,100,1360,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,308.15,0,100,994,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,308.15,0.0997,100,1022.1,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,308.15,0.2,100,1052.4,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,308.15,0.2989,100,1088.9,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,308.15,0.395,100,1126.2,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,308.15,0.4996,100,1161,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,308.15,0.6045,100,1193.7,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,308.15,0.6995,100,1228.8,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,308.15,0.801,100,1265.5,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,308.15,0.8988,100,1309.1,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,308.15,1,100,1355.9,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,313.15,0,100,992.2,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,313.15,0.0997,100,1020,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,313.15,0.2,100,1050,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,313.15,0.2989,100,1086.2,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,313.15,0.395,100,1123.2,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,313.15,0.4996,100,1157.7,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,313.15,0.6045,100,1190.3,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,313.15,0.6995,100,1225.2,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,313.15,0.801,100,1261.8,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,313.15,0.8988,100,1305.3,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,313.15,1,100,1351.8,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,318.15,0,100,990.2,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,318.15,0.0997,100,1017.7,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,318.15,0.2,100,1047.5,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,318.15,0.2989,100,1083.4,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,318.15,0.395,100,1120.2,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,318.15,0.4996,100,1154.4,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,318.15,0.6045,100,1186.9,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,318.15,0.6995,100,1221.5,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,318.15,0.801,100,1258.5,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,318.15,0.8988,100,1302,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,318.15,1,100,1348.5,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,323.15,0,100,988,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,323.15,0.0997,100,1015.3,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,323.15,0.2,100,1044.9,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,323.15,0.2989,100,1080.5,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,323.15,0.395,100,1116.5,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,323.15,0.4996,100,1151,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,323.15,0.6045,100,1183.6,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,323.15,0.6995,100,1217.9,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,323.15,0.801,100,1254.4,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,323.15,0.8988,100,1297.5,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
CGjjZ,323.15,1,100,1343.9,Rives et al. (2021),Density,Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
